genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Hsd17b7	Hsd17b7	2	2	1
Hspa14	Hspa14	2	2	1
Hspa4l	Hspa4l	2	2	1
Hspg2	Hspg2	2	2	1
Id1	Id1	2	2	1
Id2	Id2	2	2	1
Iffo2	Iffo2	2	2	1
Ifi204	Ifi204	2	2	1
Ifih1	Ifih1	2	2	1
Igf2bp2	Igf2bp2	2	2	1
Igfbp6	Igfbp6	2	2	1
Il17re	Il17re	2	2	1
Il3ra	Il3ra	2	2	1
Il6ra	Il6ra	2	2	1
Immt	Immt	2	2	1
Impa2	Impa2	2	2	1
Inhba	Inhba	2	2	1
Ints12	Ints12	2	2	1
Ipo4	Ipo4	2	2	1
Iqgap2	Iqgap2	2	2	1
Itga3	Itga3	2	2	1
Itgb4	Itgb4	2	2	1
Itpa	Itpa	2	2	1
Ivl	Ivl	2	2	1
Jade1	Jade1	2	2	1
Jkamp	Jkamp	2	2	1
Kat2a	Kat2a	2	2	1
Kctd5	Kctd5	2	2	1
Kif5c	Kif5c	2	2	1
Kitl	Kitl	2	2	1
Klf10	Klf10	2	2	1
Klf16	Klf16	2	2	1
Klf6	Klf6	2	2	1
Klf7	Klf7	2	2	1
Knop1	Knop1	2	2	1
Kpna3	Kpna3	2	2	1
Kpnb1	Kpnb1	2	2	1
Krit1	Krit1	2	2	1
Krt17	Krt17	2	2	1
Krt6a	Krt6a	2	2	1
Kti12	Kti12	2	2	1
Larp7	Larp7	2	2	1
Lbh	Lbh	2	2	1
Lemd2	Lemd2	2	2	1
Leprotl1	Leprotl1	2	2	1
Lgr6	Lgr6	2	2	1
Lima1	Lima1	2	2	1
Lin7c	Lin7c	2	2	1
Lipa	Lipa	2	2	1
Llph	Llph	2	2	1
Lman1	Lman1	2	2	1
Lmo1	Lmo1	2	2	1
Lrig1	Lrig1	2	2	1
Lrrc26	Lrrc26	2	2	1
Lrwd1	Lrwd1	2	2	1
Lsm2	Lsm2	2	2	1
Lsm5	Lsm5	2	2	1
Lsm6	Lsm6	2	2	1
Lsm7	Lsm7	2	2	1
Lss	Lss	2	2	1
Ltbp1	Ltbp1	2	2	1
Luc7l2	Luc7l2	2	2	1
Lxn	Lxn	2	2	1
Magi1	Magi1	2	2	1
Map1lc3a	Map1lc3a	2	2	1
Map1s	Map1s	2	2	1
Map2	Map2	2	2	1
Map3k2	Map3k2	2	2	1
Mapk6	Mapk6	2	2	1
Mast4	Mast4	2	2	1
Mcc	Mcc	2	2	1
Mcm7	Mcm7	2	2	1
Mcoln1	Mcoln1	2	2	1
Mcu	Mcu	2	2	1
Mdh2	Mdh2	2	2	1
Med25	Med25	2	2	1
Metap1	Metap1	2	2	1
Mettl20	Mettl20	2	2	1
Mex3a	Mex3a	2	2	1
Mfsd10	Mfsd10	2	2	1
Mgarp	Mgarp	2	2	1
Mgat4a	Mgat4a	2	2	1
Mien1	Mien1	2	2	1
Mier1	Mier1	2	2	1
Mlf1	Mlf1	2	2	1
Mlf2	Mlf2	2	2	1
Mnda	Mnda	2	2	1
Mndal	Mndal	2	2	1
Mocs2	Mocs2	2	2	1
Morc2a	Morc2a	2	2	1
Mphosph10	Mphosph10	2	2	1
Mrpl1	Mrpl1	2	2	1
Mrpl12	Mrpl12	2	2	1
Mrpl14	Mrpl14	2	2	1
Mrpl34	Mrpl34	2	2	1
Mrpl49	Mrpl49	2	2	1
