genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Abhd14b	Abhd14b	2	-2	1
Abhd5	Abhd5	2	-2	1
Aco1	Aco1	2	-2	1
Acot7	Acot7	2	-2	1
Acyp2	Acyp2	2	-2	1
Adck4	Adck4	2	-2	1
Adk	Adk	2	-2	1
Agfg1	Agfg1	2	-2	1
Agpat2	Agpat2	2	-2	1
Agtpbp1	Agtpbp1	2	-2	1
Aldh1a7	Aldh1a7	2	-2	1
Alkbh7	Alkbh7	2	-2	1
Amer1	Amer1	2	-2	1
Angptl8	Angptl8	2	-2	1
Ankrd40	Ankrd40	2	-2	1
Ano10	Ano10	2	-2	1
Ap1m2	Ap1m2	2	-2	1
Apbb1	Apbb1	2	-2	1
Apc	Apc	2	-2	1
Apmap	Apmap	2	-2	1
Apopt1	Apopt1	2	-2	1
App	App	2	-2	1
Aqp5	Aqp5	2	-2	1
Arfgef2	Arfgef2	2	-2	1
Arg1	Arg1	2	-2	1
Arhgap17	Arhgap17	2	-2	1
Arhgef26	Arhgef26	2	-2	1
Arl6ip1	Arl6ip1	2	-2	1
Arxes2	Arxes2	2	-2	1
As3mt	As3mt	2	-2	1
Atg2b	Atg2b	2	-2	1
Atp11c	Atp11c	2	-2	1
Atp2a3	Atp2a3	2	-2	1
Atp5l	Atp5l	2	-2	1
Atp6v0a1	Atp6v0a1	2	-2	1
Atp6v1b2	Atp6v1b2	2	-2	1
B4gat1	B4gat1	2	-2	1
Batf3	Batf3	2	-2	1
Baz2b	Baz2b	2	-2	1
Bcap29	Bcap29	2	-2	1
Bhlhb9	Bhlhb9	2	-2	1
Birc2	Birc2	2	-2	1
Blmh	Blmh	2	-2	1
Bloc1s1	Bloc1s1	2	-2	1
Bmp1	Bmp1	2	-2	1
Bmp5	Bmp5	2	-2	1
Bmyc	Bmyc	2	-2	1
Bpifb5	Bpifb5	2	-2	1
Brf1	Brf1	2	-2	1
Bsg	Bsg	2	-2	1
Btg3	Btg3	2	-2	1
C330006A16Rik	C330006A16Rik	2	-2	1
C4b	C4b	2	-2	1
Cabin1	Cabin1	2	-2	1
Calm2	Calm2	2	-2	1
Camk1	Camk1	2	-2	1
Camkk2	Camkk2	2	-2	1
Camsap3	Camsap3	2	-2	1
Cask	Cask	2	-2	1
Casz1	Casz1	2	-2	1
Cbx4	Cbx4	2	-2	1
Ccnd1	Ccnd1	2	-2	1
Ccnjl	Ccnjl	2	-2	1
Ccp110	Ccp110	2	-2	1
Ccrl2	Ccrl2	2	-2	1
Cdc42ep3	Cdc42ep3	2	-2	1
Cdcp1	Cdcp1	2	-2	1
Cdo1	Cdo1	2	-2	1
Celsr1	Celsr1	2	-2	1
Cept1	Cept1	2	-2	1
Cers4	Cers4	2	-2	1
Cgrrf1	Cgrrf1	2	-2	1
Chsy1	Chsy1	2	-2	1
Churc1	Churc1	2	-2	1
Cirbp	Cirbp	2	-2	1
Cldn3	Cldn3	2	-2	1
Clpx	Clpx	2	-2	1
Clspn	Clspn	2	-2	1
Cobl	Cobl	2	-2	1
Copb2	Copb2	2	-2	1
Copz2	Copz2	2	-2	1
Cpeb4	Cpeb4	2	-2	1
Cplx2	Cplx2	2	-2	1
Cpn1	Cpn1	2	-2	1
Cpne2	Cpne2	2	-2	1
Cracr2b	Cracr2b	2	-2	1
Creb3l2	Creb3l2	2	-2	1
Creg1	Creg1	2	-2	1
Creld1	Creld1	2	-2	1
Creld2	Creld2	2	-2	1
Cry2	Cry2	2	-2	1
Cxcl2	Cxcl2	2	-2	1
Cxx1a	Cxx1a	2	-2	1
Cyb561	Cyb561	2	-2	1
Cyb561d2	Cyb561d2	2	-2	1
Cyp2d22	Cyp2d22	2	-2	1
Cyp2j6	Cyp2j6	2	-2	1
Cyp39a1	Cyp39a1	2	-2	1
Cyth3	Cyth3	2	-2	1
D230025D16Rik	D230025D16Rik	2	-2	1
Daam1	Daam1	2	-2	1
Dennd5a	Dennd5a	2	-2	1
Dexi	Dexi	2	-2	1
Dgkd	Dgkd	2	-2	1
Dlc1	Dlc1	2	-2	1
Dnajb4	Dnajb4	2	-2	1
Dnajb9	Dnajb9	2	-2	1
Dnajc12	Dnajc12	2	-2	1
Dock6	Dock6	2	-2	1
Dpp4	Dpp4	2	-2	1
Dtx2	Dtx2	2	-2	1
Dusp22	Dusp22	2	-2	1
Echdc2	Echdc2	2	-2	1
Eci2	Eci2	2	-2	1
Efs	Efs	2	-2	1
Ehf	Ehf	2	-2	1
Ei24	Ei24	2	-2	1
Eif4e3	Eif4e3	2	-2	1
Elfn1	Elfn1	2	-2	1
Elmo2	Elmo2	2	-2	1
Emp2	Emp2	2	-2	1
Endod1	Endod1	2	-2	1
Entpd1	Entpd1	2	-2	1
Epn3	Epn3	2	-2	1
Etnk1	Etnk1	2	-2	1
Etv1	Etv1	2	-2	1
Etv5	Etv5	2	-2	1
Faah	Faah	2	-2	1
Fam111a	Fam111a	2	-2	1
Fam117a	Fam117a	2	-2	1
Fam118b	Fam118b	2	-2	1
Fam122a	Fam122a	2	-2	1
Fam126b	Fam126b	2	-2	1
Fam168a	Fam168a	2	-2	1
Fam189a2	Fam189a2	2	-2	1
Fam221a	Fam221a	2	-2	1
Fam53b	Fam53b	2	-2	1
Fbxo9	Fbxo9	2	-2	1
Fdxacb1	Fdxacb1	2	-2	1
Fermt2	Fermt2	2	-2	1
Fgf1	Fgf1	2	-2	1
Fgf18	Fgf18	2	-2	1
Fgl1	Fgl1	2	-2	1
Fkbp14	Fkbp14	2	-2	1
Fkbp2	Fkbp2	2	-2	1
Fkrp	Fkrp	2	-2	1
Fktn	Fktn	2	-2	1
Fmo4	Fmo4	2	-2	1
Fosb	Fosb	2	-2	1
Foxo1	Foxo1	2	-2	1
Fry	Fry	2	-2	1
Fth1	Fth1	2	-2	1
Fuca1	Fuca1	2	-2	1
Fuca2	Fuca2	2	-2	1
G0s2	G0s2	2	-2	1
Gab1	Gab1	2	-2	1
Galt	Galt	2	-2	1
Ggcx	Ggcx	2	-2	1
Ghr	Ghr	2	-2	1
Gm11744	Gm11744	2	-2	1
Gm12216	Gm12216	2	-2	1
Gm17056	Gm17056	2	-2	1
Gmfg	Gmfg	2	-2	1
Gnpat	Gnpat	2	-2	1
Gpsm1	Gpsm1	2	-2	1
Gsap	Gsap	2	-2	1
Gstk1	Gstk1	2	-2	1
Gstz1	Gstz1	2	-2	1
H13	H13	2	-2	1
H1f0	H1f0	2	-2	1
Hacd2	Hacd2	2	-2	1
Hadhb	Hadhb	2	-2	1
Hap1	Hap1	2	-2	1
Hdac7	Hdac7	2	-2	1
Hddc3	Hddc3	2	-2	1
Helz2	Helz2	2	-2	1
Herpud1	Herpud1	2	-2	1
Hipk3	Hipk3	2	-2	1
Hmgcs2	Hmgcs2	2	-2	1
Hmox2	Hmox2	2	-2	1
Hnf1b	Hnf1b	2	-2	1
Hnrnph3	Hnrnph3	2	-2	1
Hsd17b10	Hsd17b10	2	-2	1
Hspb2	Hspb2	2	-2	1
Ifi30	Ifi30	2	-2	1
Igsf3	Igsf3	2	-2	1
Igtp	Igtp	2	-2	1
Il11ra1	Il11ra1	2	-2	1
Il1r1	Il1r1	2	-2	1
Ip6k1	Ip6k1	2	-2	1
Irx3os	Irx3os	2	-2	1
Itgb3bp	Itgb3bp	2	-2	1
Itgb6	Itgb6	2	-2	1
Itpkb	Itpkb	2	-2	1
Itpr2	Itpr2	2	-2	1
Jak1	Jak1	2	-2	1
Jmjd7	Jmjd7	2	-2	1
Jph1	Jph1	2	-2	1
Jsrp1	Jsrp1	2	-2	1
Kank3	Kank3	2	-2	1
Kcnq1ot1	Kcnq1ot1	2	-2	1
Kctd2	Kctd2	2	-2	1
Klhdc8b	Klhdc8b	2	-2	1
Krtcap3	Krtcap3	2	-2	1
Lhfpl2	Lhfpl2	2	-2	1
Lmbrd1	Lmbrd1	2	-2	1
Lpin1	Lpin1	2	-2	1
Lpin2	Lpin2	2	-2	1
Lrrc8c	Lrrc8c	2	-2	1
Lrrc8d	Lrrc8d	2	-2	1
Lypla1	Lypla1	2	-2	1
Lyplal1	Lyplal1	2	-2	1
Lyrm2	Lyrm2	2	-2	1
Lztr1	Lztr1	2	-2	1
Macrod2	Macrod2	2	-2	1
Mafb	Mafb	2	-2	1
Malt1	Malt1	2	-2	1
Man1a	Man1a	2	-2	1
